 ,July 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,,,1,2,3,4
WG,,,,,,,
ALT,,,,,LW,LW,LW
,,,,,,,
Out,,,,,,,
,5 ,6 ,7 ,8 ,9 ,10 ,11 
WG,,,,,,,
ALT,LW,,,,,,
,,,,,,,
Out,,,,,,,
,12 ,13 ,14 ,15 ,16 ,17 ,18 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,19 ,20 ,21 ,22 ,23 ,24 ,25 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,26 ,27 ,28 ,29 ,30 ,31 ,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
