 ,September 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,,1,2,3,4,5
WG,,,,,,,
ALT,,,,,,NF,NF
,,,,,,,
Out,,,,,,,
,6 ,7 ,8 ,9 ,10 ,11 ,12 
WG,,,,,,,
ALT,NF,NF,,,,,
,,,,,,,
Out,,,,,,,
,13 ,14 ,15 ,16 ,17 ,18 ,19 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,20 ,21 ,22 ,23 ,24 ,25 ,26 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,27 ,28 ,29 ,30 ,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
